,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
476,22795,23,1,1 month ago,red_sandstone,shroomlight,birch_planks,yellow_terracotta,yellow_wool,yellow_concrete
477,22794,23,8,1 month ago,green_terracotta,stripped_spruce_log,amethyst_block,dark_oak_planks,calcite,barrel
478,22793,23,0,1 month ago,blue_wool,dark_oak_log,dark_oak_planks,acacia_log,acacia_planks,lapis_block
479,22792,23,2,1 month ago,quartz_block,pink_glazed_terracotta,light_gray_wool,nether_bricks,pink_concrete,magenta_terracotta
480,22791,23,3,1 month ago,deepslate_bricks,oxidized_copper,orange_stained_glass,polished_deepslate,warped_planks,cut_copper
481,22790,23,1,1 month ago,bone_block,prismarine_bricks,raw_copper_block,orange_glazed_terracotta,warped_planks,mushroom_stem
482,22789,23,0,1 month ago,oxidized_copper,copper_block,polished_blackstone_bricks,stone_bricks,stone,deepslate_bricks
483,22788,24,7,1 month ago,calcite,stone_bricks,deepslate_bricks,mossy_cobblestone,cobblestone,cobbled_deepslate
484,22787,24,2,1 month ago,stripped_dark_oak_log,basalt,cobbled_deepslate,stripped_spruce_log,terracotta,polished_granite
485,22786,24,12,1 month ago,flowering_azalea_leaves,spruce_planks,green_concrete,stripped_oak_log,oak_log,honeycomb_block
486,22785,24,10,1 month ago,spruce_planks,flowering_azalea_leaves,stripped_spruce_log,mossy_stone_bricks,moss_block,mossy_cobblestone
487,22784,24,3,1 month ago,target,hay_block,spruce_planks,stripped_oak_log,barrel,chiseled_stone_bricks
488,22783,24,11,1 month ago,spruce_log,dark_oak_planks,polished_andesite,spruce_planks,azalea_leaves,barrel
489,22782,24,0,1 month ago,acacia_log,birch_planks,deepslate_tiles,acacia_planks,dripstone_block,stone
490,22781,24,8,1 month ago,barrel,stripped_spruce_log,spruce_planks,cobbled_deepslate,diorite,deepslate_tiles
491,22780,24,1,1 month ago,oxidized_cut_copper,jungle_planks,stripped_jungle_log,spruce_planks,moss_block,brown_terracotta
492,22779,24,3,1 month ago,clay,crimson_stem,ancient_debris,black_wool,chiseled_polished_blackstone,black_glazed_terracotta
493,22778,24,2,1 month ago,basalt,blackstone,cobbled_deepslate,polished_basalt,sea_lantern,calcite
494,22777,24,10,1 month ago,moss_block,deepslate_bricks,deepslate_tiles,dark_oak_log,spruce_planks,spruce_log
495,22776,24,2,1 month ago,bone_block,pink_stained_glass,brain_coral_block,dead_horn_coral_block,pink_terracotta,stripped_crimson_stem
496,22775,24,0,1 month ago,gray_terracotta,blackstone,polished_deepslate,redstone_ore,mushroom_stem,white_concrete_powder
497,22774,24,1,1 month ago,weathered_copper,stripped_spruce_log,stripped_warped_stem,moss_block,spruce_log,deepslate_tiles
498,22773,24,3,1 month ago,jungle_planks,stripped_jungle_log,jungle_log,weathered_copper,polished_granite,lime_terracotta
499,22772,24,3,1 month ago,stone,red_concrete,quartz_block,dark_oak_leaves,cobbled_deepslate,cobblestone
500,22771,24,8,1 month ago,red_concrete,red_mushroom_block,mushroom_stem,cobblestone,moss_block,spruce_log
501,22770,24,2,1 month ago,granite,spruce_log,white_terracotta,dark_oak_planks,brown_concrete,barrel
502,22769,24,8,1 month ago,dark_prismarine,acacia_log,azalea_leaves,weathered_copper,mossy_cobblestone,moss_block
503,22768,24,3,1 month ago,acacia_planks,bricks,carved_pumpkin,red_sand,terracotta,yellow_terracotta
504,22767,25,5,1 month ago,mushroom_stem,pink_stained_glass,quartz_bricks,pink_glazed_terracotta,smooth_stone,quartz_pillar
505,22766,25,3,1 month ago,brown_glazed_terracotta,quartz_block,spruce_log,white_stained_glass,stripped_dark_oak_log,glowstone
506,22765,25,3,1 month ago,jungle_planks,cut_copper,pink_stained_glass,white_terracotta,pink_concrete,stripped_acacia_log
507,22764,25,4,1 month ago,stripped_oak_log,red_concrete,green_concrete,moss_block,oak_planks,oak_log
508,22763,25,3,1 month ago,tuff,stone,andesite,diorite,calcite,amethyst_block
509,22762,25,1,1 month ago,deepslate_tiles,warped_wart_block,gold_block,warped_stem,polished_basalt,gilded_blackstone
510,22761,25,6,1 month ago,spruce_leaves,spruce_log,spruce_planks,barrel,deepslate_tiles,gravel
511,22760,25,4,1 month ago,dried_kelp,mushroom_stem,dark_prismarine,deepslate_tiles,sea_lantern,warped_planks
512,22759,25,1,1 month ago,white_concrete,gray_concrete,light_blue_stained_glass,sea_lantern,light_gray_concrete,light_blue_concrete
513,22758,25,0,1 month ago,glowstone,dark_prismarine,blackstone,honey_block,cyan_stained_glass,polished_blackstone_bricks
514,22757,25,5,1 month ago,polished_andesite,stone,andesite,gravel,cobblestone,mossy_cobblestone
515,22756,25,2,1 month ago,pink_terracotta,magenta_terracotta,stripped_crimson_stem,stripped_oak_log,acacia_log,jungle_planks
516,22755,25,2,1 month ago,jungle_planks,acacia_log,green_concrete,green_terracotta,lime_terracotta,stripped_oak_log
517,22754,25,18,1 month ago,cyan_concrete,light_blue_terracotta,acacia_log,jungle_planks,stripped_warped_stem,bone_block
518,22753,25,11,1 month ago,terracotta,red_concrete,red_terracotta,acacia_log,jungle_planks,bone_block
519,22752,25,1,1 month ago,dark_oak_planks,stripped_dark_oak_log,oak_planks,deepslate_bricks,bricks,birch_planks
520,22751,25,6,1 month ago,flowering_azalea_leaves,azalea_leaves,green_concrete_powder,spruce_log,dark_oak_planks,stripped_dark_oak_log
521,22750,25,5,1 month ago,stripped_birch_log,moss_block,cobblestone,barrel,oak_planks,deepslate_tiles
522,22749,25,3,1 month ago,stripped_dark_oak_log,cyan_stained_glass,white_concrete,dark_oak_planks,stone_bricks,cyan_concrete
523,22748,25,3,1 month ago,white_terracotta,redstone_lamp,dark_oak_planks,bricks,cracked_deepslate_bricks,deepslate_bricks
524,22747,25,0,1 month ago,redstone_block,quartz_block,emerald_block,gold_block,polished_deepslate,gilded_blackstone
525,22746,26,2,1 month ago,green_wool,lime_terracotta,green_concrete_powder,mossy_cobblestone,oak_log,hay_block
526,22745,26,5,1 month ago,flowering_azalea_leaves,moss_block,spruce_planks,magenta_terracotta,barrel,spruce_log
527,22744,26,1,1 month ago,prismarine_bricks,stripped_acacia_log,prismarine,dark_prismarine,orange_glazed_terracotta,warped_stem
528,22743,26,7,1 month ago,bricks,granite,polished_granite,stripped_spruce_log,spruce_planks,oak_log
529,22742,26,4,1 month ago,oak_log,spruce_planks,stripped_spruce_log,pink_concrete_powder,quartz_bricks,pink_wool
530,22741,26,5,1 month ago,oxidized_copper,polished_deepslate,red_nether_bricks,black_glazed_terracotta,warped_nylium,warped_planks
531,22740,26,0,1 month ago,spruce_log,warped_planks,stripped_warped_stem,cyan_stained_glass,stone_bricks,sea_lantern
532,22739,26,1,1 month ago,polished_andesite,polished_granite,sea_lantern,prismarine,stone_bricks,cobblestone
533,22738,26,1,1 month ago,white_concrete,cyan_stained_glass,moss_block,cyan_terracotta,sea_lantern,oxidized_cut_copper
534,22737,26,6,1 month ago,oxidized_copper,calcite,spruce_planks,cobbled_deepslate,cobblestone,dark_oak_log
535,22736,26,12,1 month ago,spruce_log,moss_block,deepslate_tiles,tuff,mossy_cobblestone,mossy_stone_bricks
536,22735,26,1,1 month ago,mushroom_stem,light_blue_terracotta,magenta_terracotta,shroomlight,quartz_block,flowering_azalea_leaves
537,22734,26,8,1 month ago,gold_block,yellow_wool,bee_nest,beehive,loom,jungle_planks
538,22733,26,3,1 month ago,stripped_spruce_log,snow,spruce_planks,spruce_log,stone_bricks,moss_block
539,22732,26,1,1 month ago,calcite,iron_block,sea_lantern,polished_diorite,blast_furnace,spruce_log
540,22731,26,2,1 month ago,flowering_azalea_leaves,sea_lantern,blackstone,moss_block,polished_basalt,basalt
541,22730,26,1,1 month ago,tube_coral_block,stripped_warped_stem,oxidized_copper,azalea_leaves,moss_block,mossy_stone_bricks
542,22729,26,2,1 month ago,azalea_leaves,sandstone,sand,acacia_planks,stripped_acacia_log,granite
543,22728,26,3,1 month ago,red_sand,red_sandstone,orange_terracotta,spruce_planks,stripped_spruce_log,oak_log
544,22727,26,3,1 month ago,magma,stone_bricks,smooth_stone,warped_planks,polished_blackstone_bricks,quartz_block
545,22726,26,7,1 month ago,flowering_azalea_leaves,barrel,stripped_spruce_log,moss_block,magenta_terracotta,spruce_planks
546,22725,27,0,1 month ago,end_stone_bricks,moss_block,mossy_stone_bricks,dark_oak_planks,shroomlight,magenta_concrete
547,22724,27,2,1 month ago,white_concrete,gray_concrete,glass,spruce_planks,red_wool,sea_lantern
548,22723,27,2,1 month ago,diorite,calcite,stripped_oak_log,andesite,moss_block,spruce_planks
549,22722,27,1,1 month ago,yellow_wool,cobblestone,jungle_planks,oak_planks,terracotta,white_wool
550,22721,27,1,1 month ago,cut_copper,stone_bricks,spruce_log,spruce_planks,azalea_leaves,flowering_azalea_leaves
551,22720,27,3,1 month ago,white_terracotta,flowering_azalea_leaves,pink_terracotta,dark_oak_log,quartz_bricks,glass
552,22719,27,10,1 month ago,red_mushroom_block,spruce_planks,mossy_stone_bricks,flowering_azalea_leaves,quartz_bricks,stripped_spruce_log
553,22718,27,2,1 month ago,stripped_acacia_log,acacia_planks,orange_terracotta,green_concrete,dark_oak_leaves,stone_bricks
554,22717,27,1,1 month ago,basalt,andesite,black_concrete_powder,cracked_deepslate_tiles,dead_fire_coral_block,gravel
555,22716,27,0,1 month ago,oak_log,gray_wool,azalea_leaves,birch_planks,light_gray_wool,deepslate_tiles
556,22715,27,1,1 month ago,dark_oak_planks,nether_bricks,quartz_pillar,spruce_leaves,deepslate_bricks,stripped_dark_oak_log
